Field Name,Field Path,Lucene Path,CV DOMAIN,Display Name,Lucene  Status,,Description,FinalField,Status,Data Type,Data to include,,,,,,,,,,,,,
Label,/polymer/structuralUnits/?/label,root_polymer_structuralUnits_label,,SRU Label,,,"A label for the structural unit, typically a sequential capital letter starting with ""A"" (""A"",""B"",""C"", etc)",label,Current,string,,,,,,,,,,,,,,
Last Edited,/polymer/structuralUnits/?/lastEdited,root_polymer_structuralUnits_lastEdited,,SRU Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/polymer/structuralUnits/?/lastEditedBy,root_polymer_structuralUnits_lastEditedBy,,SRU Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
structure,/polymer/structuralUnits/?/structure,root_polymer_structuralUnits_structure,,SRU Structure,,,The molfile-format structure of the structural unit,structure,Current,string,,,,,,,,,,,,,,
Type,/polymer/structuralUnits/?/type,root_polymer_structuralUnits_type,POLYMER_SRU_TYPE,SRU Type,,,"The type of structural unit specified, describing whether it is an end group, SRU, or fragment.",type,Current,string,,,,,,,,,,,,,,
Uuid,/polymer/uuid,root_polymer_uuid,,Polymer UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Access,/properties/?/access,root_properties_access,ACCESS_GROUP,Property Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Created,/properties/?/created,root_properties_created,,Property Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/properties/?/createdBy,root_properties_createdBy,,Property Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Defining,/properties/?/defining,root_properties_defining,,Property Defining,,,A flag for whether or not the property is considered canonically defining for the substance definition.,defining,Current,boolean,,,,,,,,,,,,,,
Deprecated,/properties/?/deprecated,root_properties_deprecated,,Property Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Last Edited,/properties/?/lastEdited,root_properties_lastEdited,,Property Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/properties/?/lastEditedBy,root_properties_lastEditedBy,,Property Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Access,/properties/?/parameters/?/access,root_properties_parameters_access,ACCESS_GROUP,Parameter Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Created,/properties/?/parameters/?/created,root_properties_parameters_created,,Parameter Created,FIX INDEXING (BACKEND),,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/properties/?/parameters/?/createdBy,root_properties_parameters_createdBy,,Parameter Created By,FIX INDEXING (BACKEND),,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/properties/?/parameters/?/deprecated,root_properties_parameters_deprecated,,Parameter Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Last Edited,/properties/?/parameters/?/lastEdited,root_properties_parameters_lastEdited,,Parameter Last Edited,FIX INDEXING (BACKEND),,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/properties/?/parameters/?/lastEditedBy,root_properties_parameters_lastEditedBy,,Parameter Last Edited By,FIX INDEXING (BACKEND),,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
References,/properties/?/parameters/?/references,,,Parameter References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Uuid,/properties/?/parameters/?/uuid,root_properties_parameters_uuid,,Parameter UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Value,/properties/?/parameters/?/value,,,Parameter Value,REMOVE LUCENE PATH,,The value of the property.,value,Current,object <Amount>,,,,,,,,,,,,,,
Access,/properties/?/parameters/?/value/access,root_properties_parameters_value_access,ACCESS_GROUP,Parameter Value Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Average,/properties/?/parameters/?/value/average,root_properties_parameters_value_average,,Parameter Value Average,FIX INDEXING (BACKEND),,The amount's numeric average if present.,average,Current,number,,,,,,,,,,,,,,
Created,/properties/?/parameters/?/value/created,root_properties_parameters_value_created,,Parameter Value Created,FIX INDEXING (BACKEND),,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/properties/?/parameters/?/value/createdBy,root_properties_parameters_value_createdBy,,Parameter Value Created By,FIX INDEXING (BACKEND),,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/properties/?/parameters/?/value/deprecated,root_properties_parameters_value_deprecated,,Parameter Value Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
High,/properties/?/parameters/?/value/high,root_properties_parameters_value_high,,Parameter Value High,FIX INDEXING (BACKEND),,The highest numerical value likely for the average amount. (highest average).,high,Current,number,,,,,,,,,,,,,,
Last Edited,/properties/?/parameters/?/value/lastEdited,root_properties_parameters_value_lastEdited,,Parameter Value Last Edited,FIX INDEXING (BACKEND),,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/properties/?/parameters/?/value/lastEditedBy,root_properties_parameters_value_lastEditedBy,,Parameter Value Last Edited By,FIX INDEXING (BACKEND),,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Low,/properties/?/parameters/?/value/low,root_properties_parameters_value_low,,Parameter Value Low,FIX INDEXING (BACKEND),,The lowest numerical value likely for the average amount. (lowest average).,low,Current,number,,,,,,,,,,,,,,
Non Numeric Value,/properties/?/parameters/?/value/nonNumericValue,root_properties_parameters_value_nonNumericValue,,Parameter Value Non-Numeric Value,FIX INDEXING (BACKEND),,"A textual description of a value which can not be quantified numerically. For example, ""solubility"" may be described quantitatively or it may be described with certain textual categories. Non-numeric values are meant to specify qualitative values and other values not easily described by numbers or ranges of numbers.",nonNumericValue,Current,string,,,,,,,,,,,,,,
References,/properties/?/parameters/?/value/references,,,Parameter Value References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Type,/properties/?/parameters/?/value/type,root_properties_parameters_value_type,AMOUNT_TYPE,Parameter Value Type,FIX INDEXING (BACKEND),,"The type of the property parameter (e.g. 'CHEMICAL', ''PHYSICAL', 'ENZYMATIC', or other).",type,Current,string,,,,,,,,,,,,,,
Units,/properties/?/parameters/?/value/units,root_properties_parameters_value_units,AMOUNT_UNIT,Parameter Value Units,FIX INDEXING (BACKEND),,The amount's unit of measurement.,units,Current,string,,,,,,,,,,,,,,
Uuid,/properties/?/parameters/?/value/uuid,root_properties_parameters_value_uuid,,Parameter Value UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Property Type,/properties/?/propertyType,root_properties_propertyType,PROPERTY_TYPE,Property Property Type,,,"The type of property: chemical, enzymatic, physical, or other.",propertyType,Current,string,,,,,,,,,,,,,,
References,/properties/?/references,,,Property References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Value type,/properties/?/type,root_properties_type,,Property Type,FIX INDEXING (BACKEND),,"The type of the name (e.g. ""bn"" for ""brand name"", ""cn"" for ""common name"", and ""sys"" for ""systematic name"", etc).",type,Current,string,,,,,,,,,,,,,,
Uuid,/properties/?/uuid,root_properties_uuid,,Property UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Property Value,/properties/?/value,root_properties_value,,Property Value,,,The value of the property.,value,Current,object <Amount>,,,,,,,,,,,,,,
Access,/properties/?/value/access,root_properties_value_access,ACCESS_GROUP,Value Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Average,/properties/?/value/average,root_properties_value_average,,Value Average,FIX INDEXING (BACKEND),,The amount's numeric average if present.,average,Current,number,,,,,,,,,,,,,,
Created,/properties/?/value/created,root_properties_value_created,,Value Created,FIX INDEXING (BACKEND),,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/properties/?/value/createdBy,root_properties_value_createdBy,,Value Created By,FIX INDEXING (BACKEND),,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
